id,yearDisplayDate,startDate,displayDate,contexts,titleEN,titleTC,paragraphEN,paragraphTC,imageObjectNo,imageObjectId,imageTitleEN,imageTitleTC
E001,1970,1/1/1970,1970,SP,"Teachers, students, and artists from Beijing and Shanghai are sent to labour in farming villages in the countryside",一部分來自北京和上海的教師、學生和藝術家被送往農村勞動,,,,,,
E002,1971,1/1/1971,1971,ART,Landscape and bird-and-flower paintings are encouraged by Zhou Enlai,周恩來鼓勵創作風景及花鳥畫,Zhou Enlai appoints traditional artists to produce landscape and bird-and-flower paintings suitable for interior decoration and sale abroad. This is regarded as a refuge for professionally trained traditional artists.,周恩來任命傳統藝術家製作適合室內裝飾及外銷的風景及花鳥畫作。這舉被視為是對傳統藝術家的保護措施。,,,,
E003,1972,23/5/1972,"May 23, 1972",ART,National exhibition celebrating Mao’s speeches opens at the Yan’an Forum on Art and Literature,慶祝毛澤東「在延安文藝座談會上的講話」國家展覽開幕,A national exhibition celebrating the thirty-year anniversary of Mao’s speeches at the Yan’an Forum on Art and Literature opens in Beijing and Shanghai. Mao’s speech to artistic and literary workers in 1942 specifies ‘Art Serves the People’ as the guiding principle for socialist literature and art.,為慶祝毛澤東「在延安文藝座談會上的講話」發表30周年，一個國家級展覽在北京和上海揭幕。毛澤東在1942年對文藝工作者發表的這個講話，奠定了社會主義文學和藝術的原則，即「藝術為人民服務」。,,,,
E004,1972,21/2/1972,21 February 1972–28 February 1972,SP,Richard Nixon in China,尼克遜訪華,"United States President Richard Nixon makes an unprecedented eight-day visit to China, and meets with Mao Zedong.
",美國總統尼克遜破天荒到中國訪問八天，並會見毛澤東。,2012.1529,1828,"Du Xiuxian. Mao and Nixon, 1972. Published in China, Portrait of a Country (Beijing, 1972). M+, Hong Kong. Gift of Liu Heung Shing, 2012. © Liu Heung Shing","杜修賢，《毛澤東會見尼克遜》，1972年。載於《China, Portrait of a Country》（北京，1972年）。M+，香港，劉香成捐贈，2012。© Liu Heung Shing"
E005,1973,1/1/1973,1973,ART,"Students, teachers, and artists, including those from the Central Academy of Fine Arts, return from the countryside",包括中央美術學院在內的學院學生、教師和藝術家從農村返回城市,,,,,,
E006,1973,1/6/1973,January 1973,"ART
","Release of the documentary film Chung Kuo, Cina",紀錄片《中國》上影, ,,,,,
E007,1973,1/2/1974,February 1973,SP,Deng Xiaoping is called back to Beijing to assist Zhou Enlai in rebuilding the economy and society.  ,鄧小平被召回北京，輔助周恩來重建經濟和社會。,,,,,,
E008,1973,1/12/1973,December 1973,SP,"One-child policy
",一孩政策,"The first National Birth Planning Conference convenes in Beijing and full implementation of family planning begins, with emphasis placed on late marriage and later birth. This mandate progresses to become the one-child policy in 1980. ",第一次全國計劃生育工作匯報會在北京召開，計劃生育工作開始全面推行，號召人們晚婚晚育。此政策在1980年演變為「一孩政策」 。,,,,
E009,1974,1/2/1974,February 1974–April 1974,ART,Black Painting exhibition,黑畫展,"Traditional art—encouraged by Zhou Enlai since 1971—is once again criticised as ‘black painting’. A ‘black painting exhibition’ is held in Beijing, Shanghai, and Xi’an to educate artists to abide by the revolution’s philosophy, but it provides a new opportunity to learn about traditional culture.",自1971年起，在周恩來鼓勵下創作的傳統藝術再次被批評為「黑畫」。「黑畫展」在北京、上海和西安舉行，以教育藝術家遵守革命理念，但是這個展覽成了很多藝術家觀摩學習傳統文化的新機會。,,,,
E010,1974,1/1/1974,1974,ART,Underground Exhibition of Eleven Artists,十一人地下畫展,"Zhang Wei, Yang Yushu, and Zhao Wenliang participate in the first No Name Group exhibition, Underground Exhibition of Eleven Artists, held at the Fusuijing Building in Beijing.",張偉、楊雨澍和趙文量參與在北京福綏境大樓舉行的首屆無名畫展「十一人地下畫展」。,,,,
